"tag_id","tag_name","tag_slug","product_id"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1316"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1322"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1331"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1348"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1352"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1360"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1367"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1434"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1452"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1455"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1459"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1463"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1465"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1471"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1506"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1508"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1512"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1516"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1525"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1535"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1537"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1539"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1548"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1594"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1597"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1599"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1604"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1606"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1608"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1610"
"124","|||||ترسناک","%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9","1616"
